   Average 

Sample_Type m n Runtime
Random_Vector 1825 50000 25
Random_Vector 5264 50000 25
Random_Vector 1949 50000 25
Random_Vector 4261 50000 25
Random_Vector 5288 50000 25
Random_Vector 2584 50000 25
Random_Vector 2902 50000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 3 50000 25
Sorted_Vector 4 50000 25
Sorted_Vector 9 50000 25
Sorted_Vector 9 50000 25
Sorted_Vector 6 50000 25
Sorted_Vector 6 50000 25
Sorted_Vector 4 50000 25
Sorted_Vector 4 50000 25
Sorted_Vector 4 50000 25
Sorted_Vector 4 50000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 10501 50000 25
Inverse_Sorted_Vector 9774 50000 25
Inverse_Sorted_Vector 3748 50000 25
Inverse_Sorted_Vector 3628 50000 25
Inverse_Sorted_Vector 4581 50000 25
Inverse_Sorted_Vector 8128 50000 25
Inverse_Sorted_Vector 7339 50000 25
Inverse_Sorted_Vector 6125 50000 25
Inverse_Sorted_Vector 9416 50000 25
Inverse_Sorted_Vector 8025 50000 25
   Average 

Sample_Type m n Runtime
Random_Vector 2164 50000 50
Random_Vector 5320 50000 50
Random_Vector 2289 50000 50
Random_Vector 2098 50000 50
Random_Vector 1800 50000 50
Random_Vector 3039 50000 50
Random_Vector 3396 50000 50
Random_Vector 4486 50000 50
Random_Vector 4618 50000 50
Random_Vector 1885 50000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 11 50000 50
Sorted_Vector 8 50000 50
Sorted_Vector 8 50000 50
Sorted_Vector 8 50000 50
Sorted_Vector 8 50000 50
Sorted_Vector 10 50000 50
Sorted_Vector 13 50000 50
Sorted_Vector 8 50000 50
Sorted_Vector 7 50000 50
Sorted_Vector 7 50000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 6728 50000 50
Inverse_Sorted_Vector 9817 50000 50
Inverse_Sorted_Vector 5385 50000 50
Inverse_Sorted_Vector 4925 50000 50
Inverse_Sorted_Vector 10372 50000 50
Inverse_Sorted_Vector 3781 50000 50
